半;moitié · はん (han)
前;avant / devant · まえ (mae)
後;après / derrière · あと (ato)
友;ami · とも (tomo)
父;père · ちち (chichi)
母;mère · はは (haha)
名;nom · な (na)
東;est · ひがし (higashi)
西;ouest · にし (nishi)
南;sud · みなみ (minami)
北;nord · きた (kita)
天;ciel · てん (ten)
空;ciel / vide · そら (sora)
雨;pluie · あめ (ame)
気;air / esprit · き (ki)
花;fleur · はな (hana)
高;haut / cher · たかい (takai)
安;bon marché · やすい (yasui)
新;nouveau · あたらしい (atarashii)
古;vieux · ふるい (furui)
長;long · ながい (nagai)
多;nombreux · おおい (ōi)
少;peu · すくない (sukunai)
白;blanc · しろ (shiro)
聞;entendre · きく (kiku)
話;parler · はなす (hanasu)
読;lire · よむ (yomu)
書;écrire · かく (kaku)
飲;boire · のむ (nomu)
買;acheter · かう (kau)
出;sortir · でる (deru)
入;entrer · はいる (hairu)
立;se tenir debout · たつ (tatsu)
国;pays · くに (kuni)
学;étude · がく (gaku)
校;école · こう (kō)
語;langue / mot · ご (go)
車;voiture · くるま (kuruma)
電;électricité · でん (den)
駅;gare · えき (eki)
店;magasin · みせ (mise)
本;livre / origine · ほん (hon)
文;phrase / texte · ぶん (bun)
字;caractère · じ (ji)
会;rencontrer · あう (au)
社;compagnie · しゃ (sha)
