一;un · いち (ichi)
二;deux · に (ni)
三;trois · さん (san)
四;quatre · よん (yon)
五;cinq · ご (go)
六;six · ろく (roku)
七;sept · なな (nana)
八;huit · はち (hachi)
九;neuf · きゅう (kyū)
十;dix · じゅう (jū)
百;cent · ひゃく (hyaku)
千;mille · せん (sen)
万;dix mille · まん (man)
円;yen / rond · えん (en)
日;jour / soleil · ひ (hi)
月;lune / mois · つき (tsuki)
火;feu · ひ (hi)
水;eau · みず (mizu)
木;arbre / bois · き (ki)
金;or / argent · きん (kin)
土;terre / sol · つち (tsuchi)
年;année · とし (toshi)
時;heure · とき (toki)
分;minute · ふん (fun)
今;maintenant · いま (ima)
半;moitié · はん (han)
前;avant / devant · まえ (mae)
後;après / derrière · あと (ato)
何;quoi / combien · なに (nani)
人;personne · ひと (hito)
男;homme · おとこ (otoko)
女;femme · おんな (onna)
子;enfant · こ (ko)
友;ami · とも (tomo)
父;père · ちち (chichi)
母;mère · はは (haha)
先;précédent · さき (saki)
生;vie / naître · せい (sei)
名;nom · な (na)
上;haut / dessus · うえ (ue)
下;bas / dessous · した (shita)
左;gauche · ひだり (hidari)
右;droite · みぎ (migi)
中;milieu / dedans · なか (naka)
外;dehors · そと (soto)
東;est · ひがし (higashi)
西;ouest · にし (nishi)
南;sud · みなみ (minami)
北;nord · きた (kita)
山;montagne · やま (yama)
川;rivière · かわ (kawa)
天;ciel · てん (ten)
空;ciel / vide · そら (sora)
雨;pluie · あめ (ame)
気;air / esprit · き (ki)
花;fleur · はな (hana)
大;grand · おおきい (ōkii)
小;petit · ちいさい (chīsai)
高;haut / cher · たかい (takai)
安;bon marché · やすい (yasui)
新;nouveau · あたらしい (atarashii)
古;vieux · ふるい (furui)
長;long · ながい (nagai)
多;nombreux · おおい (ōi)
少;peu · すくない (sukunai)
白;blanc · しろ (shiro)
行;aller · いく (iku)
来;venir · くる (kuru)
見;voir · みる (miru)
聞;entendre · きく (kiku)
話;parler · はなす (hanasu)
読;lire · よむ (yomu)
書;écrire · かく (kaku)
食;manger · たべる (taberu)
飲;boire · のむ (nomu)
買;acheter · かう (kau)
出;sortir · でる (deru)
入;entrer · はいる (hairu)
立;se tenir debout · たつ (tatsu)
国;pays · くに (kuni)
学;étude · がく (gaku)
校;école · こう (kō)
語;langue / mot · ご (go)
車;voiture · くるま (kuruma)
電;électricité · でん (den)
駅;gare · えき (eki)
店;magasin · みせ (mise)
本;livre / origine · ほん (hon)
文;phrase / texte · ぶん (bun)
字;caractère · じ (ji)
会;rencontrer · あう (au)
社;compagnie · しゃ (sha)
